"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
9,138,6,-4e-04,-0.0203,-1.0697,0.1077,-0.1788,-1.1263,0.0843,0.200028547962535,0.4314,0.3922,0.1961,12.8216,2,"Tomato_60_5"
134,139,5,-0.3556,-0.1519,-1.0392,-0.5179,-0.2186,-1.1352,0.063,0.20001544940329,0.4314,0.3922,0.1961,12.8275,2,"Tomato_60_5"
133,140,4,0.5769,-0.2371,-1.1075,0.731,-0.2914,-1.2229,0.0485,0.200031147574572,0.4314,0.3922,0.1961,12.841,2,"Tomato_60_5"
135,141,2,-1.0091,1.1753,-1.4142,-1.1047,1.2977,-1.5402,0.0724,0.199992799870395,0.4314,0.3922,0.1961,12.8577,2,"Tomato_60_5"
136,142,1,1.7224,-0.9308,-1.2604,1.7256,-1.0304,-1.4338,0.0526,0.199994899934973,0.4314,0.3922,0.1961,12.8637,2,"Tomato_60_5"
137,143,3,0.5938,-1.0413,-1.1238,0.6756,-1.1625,-1.2602,0.0704,0.199964096777397,0.4314,0.3922,0.1961,12.8964,2,"Tomato_60_5"
102,144,0,-0.0077,0.3977,-13.4524,-0.0228,0.4052,-13.6378,0.068,0.186165034310957,0.4314,0.3922,0.1961,12.9013,1,"Tomato_60_5"
138,145,6,0.1077,-0.1788,-1.1263,0.2162,-0.3324,-1.1944,0.0843,0.200007049875748,0.4314,0.3922,0.1961,12.915,2,"Tomato_60_5"
139,146,5,-0.5179,-0.2186,-1.1352,-0.6796,-0.2953,-1.2245,0.063,0.200010674715126,0.4314,0.3922,0.1961,12.9278,2,"Tomato_60_5"
141,147,2,-1.1047,1.2977,-1.5402,-1.1942,1.4115,-1.6781,0.0724,0.199942741803747,0.4314,0.3922,0.1961,12.9589,2,"Tomato_60_5"
140,148,4,0.731,-0.2914,-1.2229,0.886,-0.3255,-1.3445,0.0485,0.199935914732696,0.4314,0.3922,0.1961,12.9607,2,"Tomato_60_5"
142,149,1,1.7256,-1.0304,-1.4338,1.6998,-1.0995,-1.6197,0.0526,0.199998149991444,0.4314,0.3922,0.1961,12.9674,2,"Tomato_60_5"
143,150,3,0.6756,-1.1625,-1.2602,0.7531,-1.298,-1.3853,0.0704,0.200041270741815,0.4314,0.3922,0.1961,13.0082,2,"Tomato_60_5"
145,151,6,0.2162,-0.3324,-1.1944,0.3262,-0.4797,-1.2731,0.0843,0.1999774487286,0.4314,0.3922,0.1961,13.009,2,"Tomato_60_5"
146,152,5,-0.6796,-0.2953,-1.2245,-0.8186,-0.3817,-1.3394,0.063,0.199969922738396,0.4314,0.3922,0.1961,13.029,2,"Tomato_60_5"
147,153,2,-1.1942,1.4115,-1.6781,-1.2734,1.5385,-1.8109,0.0724,0.200093678061052,0.4314,0.3922,0.1961,13.0607,2,"Tomato_60_5"
149,154,1,1.6998,-1.0995,-1.6197,1.7129,-1.156,-1.8111,0.0526,0.199994549925742,0.4314,0.3922,0.1961,13.0716,2,"Tomato_60_5"
11,155,7,0.0039,-0.0296,-1.2732,-0.1414,0.0843,-1.35,0.0828,0.199958845765823,0.4314,0.3922,0.1961,13.0718,2,"Tomato_60_5"
148,156,4,0.886,-0.3255,-1.3445,1.0174,-0.3738,-1.4874,0.0485,0.200048144205339,0.4314,0.3922,0.1961,13.0812,2,"Tomato_60_5"
151,157,6,0.3262,-0.4797,-1.2731,0.4265,-0.6203,-1.374,0.0843,0.200023148660349,0.4314,0.3922,0.1961,13.1036,2,"Tomato_60_5"
103,158,0,-0.0228,0.4052,-13.6378,-0.0512,0.4209,-13.8245,0.068,0.189499182056282,0.4314,0.3922,0.1961,13.1109,1,"Tomato_60_5"
150,159,3,0.7531,-1.298,-1.3853,0.8367,-1.4273,-1.5129,0.0704,0.199973023180628,0.4314,0.3922,0.1961,13.1208,2,"Tomato_60_5"
152,160,5,-0.8186,-0.3817,-1.3394,-0.9283,-0.5042,-1.4532,0.063,0.199976948671591,0.4314,0.3922,0.1961,13.1311,2,"Tomato_60_5"
153,161,2,-1.2734,1.5385,-1.8109,-1.3768,1.6463,-1.9439,0.0724,0.200003499969376,0.4314,0.3922,0.1961,13.163,2,"Tomato_60_5"
